date,variable,value
2004-01-31,bearish_pct,15.0
2004-01-31,bull_bear_spread,41.88
2004-01-31,bullish_pct,56.88
2004-01-31,cma,3.33
2004-01-31,hml,2.42
2004-01-31,mkt_ret,2.22
2004-01-31,mkt_rf,2.15
2004-01-31,neutral_pct,28.13
2004-01-31,rf,0.07
2004-01-31,rmw,-3.6
2004-01-31,sentiment_michigan_ics,103.8
2004-01-31,smb,2.54
2004-02-29,bearish_pct,30.53
2004-02-29,bull_bear_spread,11.049999999999995
2004-02-29,bullish_pct,41.58
2004-02-29,cma,-1.17
2004-02-29,hml,0.95
2004-02-29,mkt_ret,1.46
2004-02-29,mkt_rf,1.4
2004-02-29,neutral_pct,27.89
2004-02-29,rf,0.06
2004-02-29,rmw,2.13
2004-02-29,sentiment_michigan_ics,94.4
2004-02-29,smb,-1.57
2004-03-31,bearish_pct,42.59
2004-03-31,bull_bear_spread,-11.11
2004-03-31,bullish_pct,31.480000000000004
2004-03-31,cma,-0.98
2004-03-31,hml,0.23
2004-03-31,mkt_ret,-1.23
2004-03-31,mkt_rf,-1.32
2004-03-31,neutral_pct,25.93
2004-03-31,rf,0.09
2004-03-31,rmw,1.65
2004-03-31,sentiment_michigan_ics,95.8
2004-03-31,smb,1.73
2004-04-30,bearish_pct,21.21
2004-04-30,bull_bear_spread,28.79
2004-04-30,bullish_pct,50.0
2004-04-30,cma,-2.83
2004-04-30,hml,-3.23
2004-04-30,mkt_ret,-1.73
2004-04-30,mkt_rf,-1.81
2004-04-30,neutral_pct,28.79
2004-04-30,rf,0.08
2004-04-30,rmw,3.46
2004-04-30,sentiment_michigan_ics,94.2
2004-04-30,smb,-1.73
2004-05-31,bearish_pct,40.28
2004-05-31,bull_bear_spread,-4.170000000000002
2004-05-31,bullish_pct,36.11
2004-05-31,cma,0.01
2004-05-31,hml,-0.18
2004-05-31,mkt_ret,1.24
2004-05-31,mkt_rf,1.18
2004-05-31,neutral_pct,23.61
2004-05-31,rf,0.06
2004-05-31,rmw,-1.17
2004-05-31,sentiment_michigan_ics,90.2
2004-05-31,smb,-0.23
2004-06-30,bearish_pct,23.08
2004-06-30,bull_bear_spread,33.33
2004-06-30,bullish_pct,56.41
2004-06-30,cma,-0.31
2004-06-30,hml,1.21
2004-06-30,mkt_ret,1.93
2004-06-30,mkt_rf,1.85
2004-06-30,neutral_pct,20.51
2004-06-30,rf,0.08
2004-06-30,rmw,1.12
2004-06-30,sentiment_michigan_ics,95.6
2004-06-30,smb,2.25
2004-07-31,bearish_pct,36.0
2004-07-31,bull_bear_spread,-2.0
2004-07-31,bullish_pct,34.0
2004-07-31,cma,-1.68
2004-07-31,hml,3.22
2004-07-31,mkt_ret,-3.94
2004-07-31,mkt_rf,-4.04
2004-07-31,neutral_pct,30.0
2004-07-31,rf,0.1
2004-07-31,rmw,5.21
2004-07-31,sentiment_michigan_ics,96.7
2004-07-31,smb,-3.76
2004-08-31,bearish_pct,25.42
2004-08-31,bull_bear_spread,16.110000000000003
2004-08-31,bullish_pct,41.53
2004-08-31,cma,-1.35
2004-08-31,hml,1.08
2004-08-31,mkt_ret,0.18
2004-08-31,mkt_rf,0.07
2004-08-31,neutral_pct,33.050000000000004
2004-08-31,rf,0.11
2004-08-31,rmw,1.21
2004-08-31,sentiment_michigan_ics,95.9
2004-08-31,smb,-1.52
2004-09-30,bearish_pct,39.290000000000006
2004-09-30,bull_bear_spread,1.779999999999994
2004-09-30,bullish_pct,41.07
2004-09-30,cma,-1.72
2004-09-30,hml,-0.05
2004-09-30,mkt_ret,1.7100000000000002
2004-09-30,mkt_rf,1.6
2004-09-30,neutral_pct,19.64
2004-09-30,rf,0.11
2004-09-30,rmw,-1.49
2004-09-30,sentiment_michigan_ics,94.2
2004-09-30,smb,3.01
2004-10-31,bearish_pct,31.730000000000004
2004-10-31,bull_bear_spread,10.579999999999991
2004-10-31,bullish_pct,42.31
2004-10-31,cma,0.41
2004-10-31,hml,-0.26
2004-10-31,mkt_ret,1.53
2004-10-31,mkt_rf,1.42
2004-10-31,neutral_pct,25.96
2004-10-31,rf,0.11
2004-10-31,rmw,-0.53
2004-10-31,sentiment_michigan_ics,91.7
2004-10-31,smb,0.13
2004-11-30,bearish_pct,26.8
2004-11-30,bull_bear_spread,22.680000000000003
2004-11-30,bullish_pct,49.48
2004-11-30,cma,-0.18
2004-11-30,hml,1.57
2004-11-30,mkt_ret,4.680000000000001
2004-11-30,mkt_rf,4.53
2004-11-30,neutral_pct,23.71
2004-11-30,rf,0.15
2004-11-30,rmw,-0.52
2004-11-30,sentiment_michigan_ics,92.8
2004-11-30,smb,3.74
2004-12-31,bearish_pct,17.52
2004-12-31,bull_bear_spread,40.14
2004-12-31,bullish_pct,57.66
2004-12-31,cma,0.39
2004-12-31,hml,-0.23
2004-12-31,mkt_ret,3.58
2004-12-31,mkt_rf,3.42
2004-12-31,neutral_pct,24.82
2004-12-31,rf,0.16
2004-12-31,rmw,-1.07
2004-12-31,sentiment_michigan_ics,97.1
2004-12-31,smb,-0.03
2005-01-31,bearish_pct,36.43
2005-01-31,bull_bear_spread,-10.0
2005-01-31,bullish_pct,26.43
2005-01-31,cma,-1.41
2005-01-31,hml,2.06
2005-01-31,mkt_ret,-2.59
2005-01-31,mkt_rf,-2.75
2005-01-31,neutral_pct,37.14
2005-01-31,rf,0.16
2005-01-31,rmw,2.8
2005-01-31,sentiment_michigan_ics,95.5
2005-01-31,smb,-1.66
2005-02-28,bearish_pct,31.82
2005-02-28,bull_bear_spread,0.0
2005-02-28,bullish_pct,31.82
2005-02-28,cma,-0.21
2005-02-28,hml,1.41
2005-02-28,mkt_ret,2.04
2005-02-28,mkt_rf,1.88
2005-02-28,neutral_pct,36.36
2005-02-28,rf,0.16
2005-02-28,rmw,1.32
2005-02-28,sentiment_michigan_ics,94.1
2005-02-28,smb,-0.57
2005-03-31,bearish_pct,50.98
2005-03-31,bull_bear_spread,-22.550000000000004
2005-03-31,bullish_pct,28.43
2005-03-31,cma,1.34
2005-03-31,hml,2.07
2005-03-31,mkt_ret,-1.73
2005-03-31,mkt_rf,-1.94
2005-03-31,neutral_pct,20.59
2005-03-31,rf,0.21
2005-03-31,rmw,0.44
2005-03-31,sentiment_michigan_ics,92.6
2005-03-31,smb,-1.41
2005-04-30,bearish_pct,34.71
2005-04-30,bull_bear_spread,-4.960000000000001
2005-04-30,bullish_pct,29.75
2005-04-30,cma,-0.85
2005-04-30,hml,0.05
2005-04-30,mkt_ret,-2.4
