mkt_rf,smb,hml,rf,date,mkt_ret,rmw,cma
2.15,2.54,2.42,0.07,2004-01-31,2.2199999999999998,-3.6,3.33
1.4,-1.57,0.95,0.06,2004-02-29,1.46,2.13,-1.17
-1.32,1.73,0.23,0.09,2004-03-31,-1.23,1.65,-0.98
-1.81,-1.73,-3.23,0.08,2004-04-30,-1.73,3.46,-2.83
1.18,-0.23,-0.18,0.06,2004-05-31,1.24,-1.17,0.01
1.85,2.25,1.21,0.08,2004-06-30,1.9300000000000002,1.12,-0.31
-4.04,-3.76,3.22,0.1,2004-07-31,-3.94,5.21,-1.68
0.07,-1.52,1.08,0.11,2004-08-31,0.18,1.21,-1.35
1.6,3.01,-0.05,0.11,2004-09-30,1.7100000000000002,-1.49,-1.72
1.42,0.13,-0.26,0.11,2004-10-31,1.53,-0.53,0.41
4.53,3.74,1.57,0.15,2004-11-30,4.680000000000001,-0.52,-0.18
3.42,-0.03,-0.23,0.16,2004-12-31,3.58,-1.07,0.39
-2.75,-1.66,2.06,0.16,2005-01-31,-2.59,2.8,-1.41
1.88,-0.57,1.41,0.16,2005-02-28,2.04,1.32,-0.21
-1.94,-1.41,2.07,0.21,2005-03-31,-1.73,0.44,1.34
-2.61,-3.93,0.05,0.21,2005-04-30,-2.4,0.97,-0.85
3.65,2.86,-0.58,0.24,2005-05-31,3.8899999999999997,-1.02,0.28
0.58,2.56,2.8,0.23,2005-06-30,0.8099999999999999,0.87,-0.52
3.92,2.87,-0.78,0.24,2005-07-31,4.16,-1.19,-0.78
-1.2,-1.07,1.34,0.3,2005-08-31,-0.8999999999999999,-1.96,0.38
0.48,-0.62,0.78,0.29,2005-09-30,0.77,0.26,-0.61
-2.04,-1.3,0.43,0.27,2005-10-31,-1.77,-0.7,-1.26
3.61,1.05,-1.19,0.31,2005-11-30,3.92,-0.79,-1.09
-0.24,-0.44,0.15,0.32,2005-12-31,0.08000000000000002,0.18,0.2
3.03,5.46,0.99,0.35,2006-01-31,3.38,-0.66,-0.35
-0.3,-0.41,-0.31,0.34,2006-02-28,0.040000000000000036,-0.54,1.98
1.47,3.39,0.61,0.37,2006-03-31,1.8399999999999999,0.03,-0.44
0.73,-1.38,2.26,0.36,2006-04-30,1.0899999999999999,1.74,-0.13
-3.56,-3.01,2.38,0.43,2006-05-31,-3.13,0.87,1.53
-0.35,-0.35,0.85,0.4,2006-06-30,0.050000000000000044,1.32,-0.13
-0.77,-3.95,2.62,0.4,2006-07-31,-0.37,1.63,0.84
2.03,0.99,-1.95,0.42,2006-08-31,2.4499999999999997,-1.81,2.14
1.84,-1.3,0.06,0.41,2006-09-30,2.25,0.78,0.46
3.22,1.77,-0.33,0.41,2006-10-31,3.6300000000000003,-0.11,0.32
1.7,0.63,0.04,0.42,2006-11-30,2.12,0.2,-0.8
0.85,-1.16,2.74,0.4,2006-12-31,1.25,-0.65,1.88
1.38,0.09,-0.68,0.44,2007-01-31,1.8199999999999998,0.19,0.4
-1.96,1.23,-0.08,0.38,2007-02-28,-1.58,-0.52,-0.66
0.71,0.09,-0.88,0.43,2007-03-31,1.14,0.55,-0.67
3.49,-2.21,-1.44,0.44,2007-04-30,3.93,1.18,1.01
3.23,0.16,-0.59,0.41,2007-05-31,3.64,1.47,-1.26
-1.96,0.73,-1.05,0.4,2007-06-30,-1.56,0.49,0.06
-3.72,-2.66,-3.68,0.4,2007-07-31,-3.3200000000000003,0.26,-1.16
0.94,-0.11,-1.87,0.42,2007-08-31,1.3599999999999999,-1.27,-0.57
3.22,-2.25,-2.17,0.32,2007-09-30,3.54,-0.49,-2.94
1.79,0.19,-2.87,0.32,2007-10-31,2.11,-0.33,0.06
-4.8,-2.81,-1.09,0.34,2007-11-30,-4.46,1.75,-0.36
-0.87,0.11,-0.51,0.27,2007-12-31,-0.6,0.9,-1.07
-6.33,-1.02,4.0,0.21,2008-01-31,-6.12,2.12,2.06
-3.09,-0.48,-0.72,0.13,2008-02-29,-2.96,1.07,-0.97
-0.94,0.71,0.31,0.17,2008-03-31,-0.7699999999999999,0.89,0.47
4.61,-1.69,-0.96,0.18,2008-04-30,4.79,1.81,-2.56
1.87,2.97,-1.5,0.18,2008-05-31,2.0500000000000003,0.92,0.14
-8.43,1.15,-2.51,0.17,2008-06-30,-8.26,4.98,-0.69
-0.75,2.6,5.2,0.15,2008-07-31,-0.6,-1.36,0.99
1.53,3.4,1.52,0.13,2008-08-31,1.6600000000000001,1.83,0.66
