term,coef,std_err,t_stat,p_value,ci_low,ci_high
Intercept,0.48315700329444566,0.5277419647881736,0.9155174981932249,0.35992002062221584,-0.5511982408207798,1.5175122474096712
C(variable)[T.bull_bear_spread],1.9505508282815813e-15,4.078404018754874e-15,0.4782632665404933,0.6324628377695305,-6.0429741628813915e-15,9.944075819444553e-15
C(variable)[T.bullish_pct],1.5903137824651857e-15,5.580874132454552e-15,0.28495783003185954,0.7756764497825558,-9.347998519396957e-15,1.2528626084327327e-14
C(variable)[T.cma],0.034644229854815294,0.24793949554248837,0.13972856474122516,0.8888744564034883,-0.45130825175349115,0.5205967114631217
C(variable)[T.hml],0.03464422985480456,0.24793949554248884,0.1397285647411816,0.8888744564035227,-0.45130825175350286,0.5205967114631119
C(variable)[T.mkt_ret],0.03464422985480532,0.24793949554248873,0.13972856474118475,0.8888744564035203,-0.45130825175350187,0.5205967114631125
C(variable)[T.mkt_rf],0.03464422985480993,0.24793949554248867,0.13972856474120335,0.8888744564035055,-0.45130825175349715,0.520596711463117
C(variable)[T.neutral_pct],-5.485397580584695e-15,7.5370240732229e-15,-0.7277935598047107,0.4667399674682917,-2.025769331471296e-14,9.28689815354357e-15
C(variable)[T.rf],0.03464422985481268,0.24793949554248737,0.13972856474121517,0.8888744564034962,-0.4513082517534918,0.5205967114631171
C(variable)[T.rmw],0.034644229854813226,0.24793949554248834,0.13972856474121684,0.8888744564034948,-0.45130825175349315,0.5205967114631196
C(variable)[T.sentiment_michigan_ics],-3.0787004889898384e-15,5.454984272218367e-15,-0.564383018420295,0.5724934933017573,-1.3770273198770275e-14,7.612872220790599e-15
C(variable)[T.smb],0.034644229854810735,0.2479394955424877,0.13972856474120715,0.8888744564035025,-0.4513082517534944,0.5205967114631159
C(date)[T.Timestamp('2004-02-29 00:00:00')],-0.386892568032589,0.46668064117776004,-0.8290306772875553,0.40708704845489185,-1.3015698170230587,0.5277846809578808
C(date)[T.Timestamp('2004-03-31 00:00:00')],-0.5137303109964221,0.5775364419560084,-0.8895201647475494,0.37372359093114227,-1.645680936989606,0.6182203149967619
C(date)[T.Timestamp('2004-04-30 00:00:00')],-0.5285093900355725,0.511465247615026,-1.0333241456775877,0.30145223129073195,-1.5309628547048844,0.4739440746337392
C(date)[T.Timestamp('2004-05-31 00:00:00')],-0.5962551762068824,0.45654549182474635,-1.3060148153555007,0.19154751939051085,-1.491067897487511,0.2985575450737461
C(date)[T.Timestamp('2004-06-30 00:00:00')],-0.11639011160959728,0.3234029601723823,-0.35989191795757924,0.7189279611801553,-0.7502482660411081,0.5174680428219136
C(date)[T.Timestamp('2004-07-31 00:00:00')],-0.5227485877190026,0.6818472233243627,-0.7666652731536093,0.44328055582605164,-1.8591445883933924,0.8136474129553872
C(date)[T.Timestamp('2004-08-31 00:00:00')],-0.40361580287130744,0.42639374947847025,-0.9465800175658697,0.3438528302701479,-1.2393321950821037,0.43210058933948875
C(date)[T.Timestamp('2004-09-30 00:00:00')],-0.4814775095608532,0.4504733486451942,-1.0688257385456976,0.28514819919942314,-1.364389048900589,0.40143402977888265
C(date)[T.Timestamp('2004-10-31 00:00:00')],-0.40625388695092757,0.35963487921105014,-1.1296287163307073,0.2586327055094272,-1.1111252977889985,0.29861752388714335
C(date)[T.Timestamp('2004-11-30 00:00:00')],-0.053313749400912824,0.3169908926413447,-0.1681870067517491,0.8664361624515893,-0.6746044824051514,0.5679769836033257
