event_name,event_label,window,window_half_width,n_obs,average_abnormal_return,car,car_se,car_t_stat,car_p_value,significance
GFC,2008 Financial Crisis,"[-0, +0]",0,1,-8.612142479417617,-8.612142479417617,2.185910140366894,-3.9398428692828666,8.153499527718822e-05,***
GFC,2008 Financial Crisis,"[-1, +1]",1,3,-8.402293805439477,-25.20688141631843,3.7861074238954764,-6.657730115429055,2.780886632081092e-11,***
GFC,2008 Financial Crisis,"[-3, +3]",3,7,-5.61672554296248,-39.31707880073736,5.783374619745093,-6.7982936236750815,1.0586642673615643e-11,***
GFC,2008 Financial Crisis,"[-6, +6]",6,13,-3.8192155830893935,-49.64980258016212,7.881411094649522,-6.299608278759629,2.983988611759969e-10,***
GFC,2008 Financial Crisis,"[-12, +12]",12,25,-1.7658026799707491,-44.14506699926873,10.929550701834469,-4.039055968866059,5.3666759537662756e-05,***
COVID,COVID Shock,"[-0, +0]",0,1,-12.259303984607234,-12.259303984607234,3.2997607739586625,-3.7152099271426793,0.00020303506190466614,***
COVID,COVID Shock,"[-1, +1]",1,3,0.24147512708425367,0.724425381252761,5.715353313319205,0.1267507608960135,0.8991376684131369,
COVID,COVID Shock,"[-3, +3]",3,7,0.669906067944016,4.689342475608112,8.73034639390064,0.5371313191976288,0.5911769083837766,
COVID,COVID Shock,"[-6, +6]",6,13,0.7229222040733446,9.39798865295348,11.897456667272696,0.7899157707214259,0.42957696049923055,
COVID,COVID Shock,"[-12, +12]",12,25,0.8651711674732483,21.62927918683121,16.498803869793313,1.3109604403765887,0.18987112919481253,
